Height,Width,CenterX,CenterY,Area,Perimeter,Compactness,MajorAxis,MinorAxis,Orientation,Eccentricity,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,Class
689,481,271.4591859,333.6895166,164012,4549.667,0.900430514,693.5682798,383.7541182,-65.66140912,0.832979388,0.23943084,0.016178184,0.00322283,0.000146269,-6.61E-08,-1.06E-05,3.10E-08,0
520,394,193.6803172,263.759307,128371,2298.802,0.69473736,514.7480206,366.1912504,-71.7648878,0.702788303,0.194297933,0.004060485,0.001024334,2.37E-05,-1.72E-09,-1.27E-06,-3.33E-09,0
481,413,201.9067673,250.3336555,130362,2131.408,0.639398362,486.6236408,386.5538649,-61.13209189,0.607448592,0.185176052,0.001755052,0.000585557,2.35E-05,2.75E-09,7.16E-07,-5.50E-10,0
474,410,200.6357429,244.5751289,125664,2252.548,0.688776319,480.8063407,379.6671976,-60.9402459,0.613561652,0.186673894,0.001873893,0.000651041,2.15E-05,2.39E-09,4.81E-07,-4.38E-10,0
562,402,210.7598632,274.8468817,130409,4039.983,0.899594303,559.639862,361.2620216,-71.54392016,0.763738386,0.212660299,0.007666996,0.001859986,4.58E-05,-9.74E-09,-2.39E-06,9.45E-09,0
479,434,231.0092056,232.9852284,121991,2744.287,0.796446489,502.7019816,373.9758002,-54.13308482,0.668255968,0.201131665,0.003343165,0.001441345,4.15E-05,1.33E-09,-9.23E-07,-1.02E-08,0
469,423,227.681614,224.0259845,115338,3884.056,0.903924796,495.2905158,361.9623431,-54.93225652,0.682582929,0.203930085,0.003835852,0.001632275,3.27E-05,7.97E-10,-9.87E-07,-8.73E-09,0
477,430,234.6167913,227.4441675,116751,3424.021,0.874859573,505.9286526,360.2173543,-54.01372868,0.702187173,0.206490159,0.004565187,0.001798382,4.23E-05,-3.62E-09,-2.06E-06,-1.93E-08,0
503,429,237.2395808,236.3207398,117547,3930.049,0.904363102,532.2572161,356.8142278,-56.8166001,0.742018581,0.218324391,0.006878543,0.002392945,5.86E-05,-1.99E-08,-4.85E-06,-5.64E-08,0
488,428,236.973853,232.0152495,115348,4204.075,0.917987694,520.3020956,359.9372464,-54.95940966,0.722103421,0.216888028,0.005849662,0.002195167,4.82E-05,-3.63E-09,-2.63E-06,-2.72E-08,0
468,428,234.7592694,223.2415156,113384,3464.402,0.881285142,501.556766,359.5876165,-52.68160499,0.697131783,0.209944709,0.004541727,0.001890861,5.23E-05,3.20E-09,-1.44E-06,-1.93E-08,0
476,433,241.3504559,229.9506416,111977,3201.089,0.862677028,509.4551523,365.5729713,-52.10828373,0.696479845,0.212832659,0.005084344,0.002089943,6.62E-05,-3.97E-09,-2.90E-06,-3.76E-08,0
472,434,240.8360888,227.4096884,111536,3394.685,0.878374128,506.5378683,364.6686385,-51.38976163,0.69405317,0.212359952,0.004919751,0.002007922,4.97E-05,-2.48E-09,-2.09E-06,-2.77E-08,0
472,436,239.8588325,224.9209261,115664,3998.245,0.90907794,509.3296349,359.9328646,-51.0777727,0.707533701,0.210194534,0.004926244,0.001894002,4.92E-05,-4.26E-09,-2.31E-06,-3.05E-08,0
469,437,235.484244,229.8160683,117511,3788.089,0.897092261,502.0080711,361.7666256,-50.70053542,0.693310423,0.203650581,0.004151981,0.001488794,5.97E-05,8.18E-09,-2.07E-07,-1.55E-08,0
433,443,238.3596373,213.9940314,113595,3440.765,0.879424504,481.9323642,355.1257727,-42.30247219,0.676024808,0.197185357,0.003411294,0.001117778,6.49E-05,1.46E-08,2.10E-06,-9.53E-09,0
380,445,235.4167399,189.2139353,109248,2179.717,0.711049709,457.759086,354.345847,-25.21958694,0.633077927,0.191711292,0.002308585,0.000623198,5.02E-05,8.03E-09,2.35E-06,5.26E-09,0
353,459,245.1420647,178.066767,109605,2064.536,0.676856585,467.6095607,339.7127394,-16.23892453,0.68717914,0.190491523,0.003466697,0.000475417,5.28E-05,7.23E-09,2.70E-06,7.15E-09,0
424,478,270.5452284,202.5823439,121782,3957.898,0.902306927,513.2626799,369.9455982,-32.39560752,0.693171752,0.205441814,0.004220628,0.001454358,9.48E-05,3.23E-08,3.99E-06,9.23E-09,0
453,325,160.361189,205.8760567,87774,1892.122,0.691910084,455.1861226,304.3841388,-85.14568889,0.743529991,0.213514118,0.006653764,0.002155828,7.41E-05,2.92E-08,5.86E-06,5.03E-09,0
415,331,158.2643519,193.6943802,84327,1979.578,0.72958469,426.105622,311.2049975,-89.09004581,0.683076233,0.206354962,0.003943138,0.001649445,1.92E-05,3.06E-09,1.09E-06,2.04E-09,0
440,342,179.972139,204.7302461,89767,2915.527,0.867293425,447.215945,319.2984437,-73.68552594,0.700177032,0.210248883,0.00466108,0.002183673,3.18E-05,2.38E-09,6.74E-07,-4.10E-11,0
